Hour,Minute,Price_now,Percentage,Volume
10,59,7154.75,-0.0014,41391507
11,1,7159.75,-0.0005,1035826
11,2,7163.25,0,2670503
11,3,7155.25,-0.0021,3052605
11,4,7160.25,-0.0009,4064060
11,5,7163.25,0,4648086
11,6,7164.75,0.0001,4844520
11,7,7158.75,-0.0008,5668685
11,8,7160.75,-0.0006,6017323
11,9,7154.75,-0.002,7363576
11,10,7154.25,-0.0022,7555568
11,11,7154.25,-0.0022,7671611
11,12,7152.75,-0.0029,8543640
11,13,7152.25,-0.0037,8973692
11,14,7153.75,-0.0047,9496176
11,15,7153.75,-0.0045,9602578
11,16,7154.75,-0.0051,9701889
11,17,7154.75,-0.0038,9795341
11,18,7154.75,-0.0026,9869943
11,19,7159.25,-0.0021,10287321
11,20,7162.75,-0.0017,10598315
11,21,7162.75,-0.0029,10983498
11,22,7162.75,-0.0027,11294096
11,23,7160.25,-0.0021,11619684
11,24,7160.25,-0.0019,11908908
11,25,7154.75,-0.0024,12159030
11,26,7154.75,-0.0026,12231399
11,27,7154.75,-0.0035,12251809
11,28,7154.75,-0.0036,12327620
11,29,7154.75,-0.0033,12928850
11,30,7154.75,-0.0033,13194743
11,31,7152.25,-0.0044,13405346
11,32,7152.25,-0.0043,13639521
11,33,7151.75,-0.0034,13852072
11,34,7151.75,-0.0019,13926282
11,35,7151.75,-0.0015,14028497
11,36,7149.75,-0.0003,14547444
11,37,7149.25,-0.0001,14769608
11,38,7149.25,-0.0012,15178882
11,39,7142.75,-0.0013,16122033
11,40,7144.25,-0.0016,17940669
11,41,7145.75,-0.0013,18658414
11,42,7145.75,-0.0007,18812402
11,43,7145.75,-0.0013,19110501
11,44,7147.25,-0.0004,19453938
11,45,7147.25,-0.0006,19568515
11,46,7147.25,-0.0003,19590985
11,47,7147.25,-0.0002,19605102
11,49,7147.25,0.0006,19701434
11,50,7147.25,0.0013,19753755
11,51,7142.75,0.0007,20433841
11,52,7142.75,0.0006,20718812
11,53,7144.75,0.0001,21454855
11,54,7144.75,0.0021,21687029
11,55,7147.25,0.0025,22469401
11,56,7148.75,0.0023,23029433
11,57,7148.75,0.003,23067418
11,58,7148.75,0.0016,23215719
11,59,7148.75,0.0005,23273875
12,0,7148.75,0.0011,38348
12,1,7148.75,0.0018,126993
12,2,7148.75,0.0015,250197
12,3,7148.75,0.0019,265771
12,4,7148.75,0.0027,269247
12,5,7147.25,0.0027,1140843
12,6,7149.75,0.0031,3042288
12,7,7149.75,0.003,3455073
12,8,7149.25,0.0027,3623340
12,9,7147.25,0.0025,3868716
12,10,7144.25,0.0024,5428213
12,11,7137.25,0.0002,7852702
12,12,7132.75,-0.0011,9790300
12,13,7133.25,-0.0011,11316142
12,14,7125.75,-0.0027,13985368
12,15,7120.75,-0.0039,20340095
12,16,7119.25,-0.004,22589244
12,17,7106.25,-0.0059,26425836
12,18,7106.75,-0.0055,31064028
12,19,7100.75,-0.0062,36889772
12,20,7108.75,-0.0059,38997043
12,21,7109.75,-0.0057,39637662
12,22,7109.25,-0.0066,40570696
12,23,7105.75,-0.0072,41760012
12,24,7094.25,-0.01,47029282
12,25,7099.75,-0.0092,48899437
12,26,7099.75,-0.0097,50115462
12,27,7101.75,-0.0095,50418309
